City,Country,Date,Latitude,Longitude,Humidity,Pressure,Temp,Max_Temp,Cloudiness,Wind_Speed
Coyhaique,CL,1602183211,-45.58,-72.07,54,1013,53.6,53.6,75,10.29
Esim,GH,1602183211,4.87,-2.24,89,1012,76.91,76.91,93,9.73
Rafaela,AR,1602183013,-31.25,-61.49,18,1012,86.0,86.0,0,1.01
Batagay,RU,1602183211,67.63,134.63,95,1016,24.94,24.94,99,3.06
Punta Arenas,CL,1602183211,-53.15,-70.92,50,1000,53.6,53.6,40,34.45
Port Alfred,ZA,1602183211,-33.59,26.89,88,1012,65.7,65.7,81,9.1
Saint-Philippe,RE,1602183130,-21.36,55.77,88,1016,69.06,73.4,13,4.7
Kapaa,US,1602183135,22.08,-159.32,69,1017,79.63,82.4,40,10.29
East London,ZA,1602183129,-33.02,27.91,93,1011,66.2,66.2,20,11.41
Busselton,AU,1602183212,-33.65,115.33,74,1008,50.36,52.0,100,3.49
Rikitea,PF,1602183212,-23.12,-134.97,79,1024,73.62,73.62,96,17.81
Cherskiy,RU,1602183212,68.75,161.3,97,1008,27.72,27.72,84,15.46
Half Moon Bay,US,1602183213,37.46,-122.43,87,1016,63.68,66.99,90,5.82
Jumla,NP,1602183213,29.27,82.18,57,1019,52.81,52.81,42,3.85
Carnarvon,AU,1602183213,-24.87,113.63,88,1014,64.4,64.4,0,10.29
Puerto Escondido,MX,1602183213,15.85,-97.07,66,1013,87.8,87.8,40,10.29
Barrow,US,1602183002,71.29,-156.79,95,1005,32.0,32.0,90,23.04
Port Elizabeth,ZA,1602183214,-33.92,25.57,93,1012,62.6,62.6,100,13.87
Hermanus,ZA,1602183214,-34.42,19.23,85,1018,57.0,57.0,100,1.99
Yining,CN,1602183143,29.04,114.56,90,1021,56.07,56.07,0,0.94
Castro,BR,1602183215,-24.79,-50.01,47,1008,83.12,83.12,57,18.97
Rawson,AR,1602183046,-43.3,-65.1,32,1007,63.86,63.86,99,25.17
Wukari,NG,1602183216,7.85,9.78,86,1012,75.88,75.88,75,0.45
Dogondoutchi,NE,1602183216,13.64,4.03,30,1008,93.99,93.99,8,6.69
Chapada dos Guimarães,BR,1602183217,-15.46,-55.75,11,1008,107.6,107.6,0,5.82
Hofn,IS,1602183217,64.25,-15.21,63,1001,45.23,45.23,26,6.98
Hobart,AU,1602183023,-42.88,147.33,100,1002,50.67,52.0,90,1.12
Cidreira,BR,1602183219,-30.18,-50.21,68,1014,64.06,64.06,67,11.05
Cockburn Town,TC,1602183219,21.46,-71.14,73,1013,83.34,83.34,3,12.24
Narsaq,GL,1602183219,60.92,-46.05,93,1014,39.2,39.2,75,1.12
Mataura,NZ,1602183219,-46.19,168.86,92,1031,35.01,35.01,8,2.68
Prieska,ZA,1602183220,-29.66,22.75,36,1010,78.58,78.58,64,12.17
Joshīmath,IN,1602183220,30.57,79.57,37,1019,55.09,55.09,0,2.77
Rørvik,NO,1602183220,64.86,11.24,93,1000,50.0,50.0,75,2.24
Iqaluit,CA,1602183220,63.75,-68.51,94,1004,32.0,32.0,75,4.76
Ţalkhā,EG,1602183220,31.05,31.38,74,1012,73.4,73.4,0,5.99
Vao,NC,1602183220,-22.67,167.48,86,1015,71.06,71.06,0,15.75
Igra,RU,1602183221,57.56,53.05,79,1034,44.69,44.69,100,10.11
Bengkulu,ID,1602182948,-3.8,102.27,85,1009,73.99,73.99,100,2.95
Poshekhon'ye,RU,1602183221,58.5,39.14,69,1023,55.51,55.51,100,10.22
Bluff,NZ,1602183131,-46.6,168.33,92,1031,35.01,35.01,11,6.96
Atar,MR,1602183221,20.52,-13.05,37,1014,102.2,102.2,0,20.8
Yellowknife,CA,1602183222,62.46,-114.35,100,1009,37.4,37.99,90,10.29
Puro,PH,1602183222,12.48,123.38,85,1007,77.83,77.83,100,0.96
Kudahuvadhoo,MV,1602183222,2.67,72.89,75,1011,82.76,82.76,52,6.22
Husavik,IS,1602183222,66.04,-17.34,86,1004,41.0,41.0,90,2.24
Nara,JP,1602183222,34.69,135.8,83,1009,63.5,64.0,100,14.36
Vaini,TO,1602183222,-21.2,-175.2,100,1015,73.4,73.4,40,3.36
Marzuq,YE,1602183223,14.4,46.47,52,1013,75.2,75.2,0,4.18
Tiksi,RU,1602183179,71.69,128.87,92,1010,14.72,14.72,20,14.79
Adrar,MR,1602183223,20.5,-10.07,15,1011,97.93,97.93,0,10.87
Atuona,PF,1602183223,-9.8,-139.03,76,1015,77.74,77.74,7,19.39
Vardø,NO,1602183224,70.37,31.11,81,1010,51.8,51.8,75,17.22
Lompoc,US,1602183224,34.64,-120.46,82,1016,60.26,60.8,90,4.7
Bac Lieu,VN,1602183225,9.29,105.72,87,1006,78.85,78.85,100,10.58
Jalu,LY,1602183225,29.03,21.55,69,1015,76.8,76.8,0,19.33
Harar,ET,1602183226,9.31,42.13,58,1012,60.48,60.48,73,2.59
Esperance,AU,1602183227,-33.87,121.9,100,1016,51.8,51.8,40,8.05
Wanning,CN,1602183227,18.8,110.4,86,1011,77.86,77.86,92,17.29
Albany,US,1602183125,42.6,-73.97,35,1015,55.8,57.0,40,18.34
Karera,IN,1602183229,25.47,78.15,34,1010,74.53,74.53,71,1.81
Thompson,CA,1602183172,55.74,-97.86,59,1016,35.6,35.6,75,2.24
Cap-aux-Meules,CA,1602183229,47.38,-61.86,93,980,51.8,51.8,90,36.91
Khatanga,RU,1602183229,71.97,102.5,98,1001,18.46,18.46,83,6.98
Torbay,CA,1602183230,47.67,-52.73,82,983,59.18,60.01,75,24.16
Port-Gentil,GA,1602183230,-0.72,8.78,88,1012,78.8,78.8,40,6.93
Huarmey,PE,1602183230,-10.07,-78.15,69,1014,68.83,68.83,28,9.69
São João da Barra,BR,1602183168,-21.64,-41.05,78,1011,80.6,80.6,75,9.17
Bathsheba,BB,1602183230,13.22,-59.52,83,1012,82.4,82.4,40,11.41
Acapulco de Juárez,MX,1602182941,16.86,-99.89,70,1012,87.8,87.8,75,4.7
Peleduy,RU,1602183231,59.63,112.74,89,1021,32.16,32.16,100,3.27
Avarua,CK,1602183231,-21.21,-159.78,88,1018,77.0,77.0,50,14.99
Mier,MX,1602183231,26.43,-99.15,41,1015,90.1,91.4,75,5.82
Bethel,US,1602182963,41.37,-73.41,41,1014,60.87,62.01,1,11.41
Veinticinco de Mayo,AR,1602183232,-35.43,-60.17,34,1017,73.0,73.0,0,8.99
Lebu,CL,1602183232,-37.62,-73.65,77,1025,54.68,54.68,12,7.09
San Patricio,US,1602183232,28.02,-97.52,55,1013,90.23,91.0,75,14.99
Cape Town,ZA,1602183129,-33.93,18.42,87,1016,58.66,62.01,75,20.8
Pitimbu,BR,1602183232,-7.47,-34.81,58,1013,86.0,86.0,20,10.29
Kologriv,RU,1602183232,58.83,44.32,65,1026,53.42,53.42,100,7.92
Ushuaia,AR,1602182996,-54.8,-68.3,65,997,46.4,46.4,75,18.34
Sitka,US,1602183233,57.05,-135.33,87,1010,46.4,46.4,75,3.36
Qaanaaq,GL,1602183233,77.48,-69.36,76,1016,17.2,17.2,74,7.65
Diffa,NE,1602182994,13.32,12.61,32,1008,92.52,92.52,100,0.98
Bukachacha,RU,1602183233,52.98,116.92,82,1019,35.76,35.76,100,6.11
Puerto Ayora,EC,1602183234,-0.74,-90.35,54,1015,73.27,78.8,40,13.87
Margate,GB,1602183234,51.38,1.39,87,1015,53.65,55.0,100,12.03
Kushima,JP,1602183234,31.46,131.23,89,1004,69.48,69.48,100,20.51
Fortuna,US,1602183235,40.6,-124.16,93,1015,56.82,60.01,75,3.36
Manakara,MG,1602183235,-22.13,48.02,91,1017,70.36,70.36,62,6.04
San Juan,AR,1602183005,-31.54,-68.54,15,1011,80.19,80.19,65,5.91
Shaoyang,CN,1602183236,27.23,111.45,81,1022,59.49,59.49,100,3.27
Longyearbyen,SJ,1602183237,78.22,15.64,80,1008,39.2,39.2,75,13.87
Mildura,AU,1602183237,-34.2,142.15,93,1018,46.22,46.4,0,5.82
Opuwo,NA,1602183238,-18.06,13.84,46,1013,64.9,64.9,0,8.68
Enumclaw,US,1602183239,47.2,-121.99,100,1014,60.03,61.0,90,3.83
Tasiilaq,GL,1602183239,65.61,-37.64,86,1015,32.2,32.2,90,5.5
Suicheng,CN,1602183239,33.9,117.93,88,1024,57.42,57.42,0,4.81
Bambanglipuro,ID,1602183240,-7.95,110.28,82,1010,76.26,76.26,94,6.38
Nome,US,1602183240,64.5,-165.41,81,986,44.44,45.0,75,18.34
Olinda,BR,1602183240,-8.01,-34.86,70,1013,84.2,84.2,40,9.17
San Policarpo,PH,1602183240,12.18,125.51,88,1007,77.0,77.0,100,3.38
Portland,US,1602183240,45.52,-122.68,77,1014,59.29,61.0,90,8.05
Lata,PT,1602183241,40.16,-8.33,83,1020,66.99,66.99,0,3.0
Upernavik,GL,1602183241,72.79,-56.15,90,1014,31.84,31.84,0,5.84
Nikolskoye,RU,1602183241,59.7,30.79,87,1016,54.79,55.4,40,4.47
Kysyl-Syr,RU,1602183241,63.9,122.76,94,1020,27.0,27.0,65,4.23
Ermelo,ZA,1602182991,-26.53,29.98,57,1015,60.37,60.37,0,2.59
Paphos,CY,1602182948,34.77,32.42,88,1013,71.4,73.4,0,3.36
Ambilobe,MG,1602183242,-13.2,49.05,83,1015,76.41,76.41,46,1.54
Kaitangata,NZ,1602183242,-46.28,169.85,86,1031,35.37,35.37,4,3.78
Leningradskiy,RU,1602183242,69.38,178.42,98,995,32.07,32.07,100,12.28
Steinbach am Taunus,DE,1602183242,50.17,8.57,72,1018,60.73,61.0,90,12.75
Klaksvík,FO,1602183243,62.23,-6.59,81,1003,42.8,42.8,0,6.93
Mayo,US,1602183243,38.89,-76.51,48,1018,68.45,70.0,1,10.29
